source_system,job_name,algorithm,antecedent,consequent,antecedent_size,consequent_size,support_count,support,confidence,lift,min_support,min_confidence
uci,uci_product,apriori,LUNCH BAG SPACEBOY DESIGN,LUNCH BAG WOODLAND,1,1,734,0.021653833672596396,0.3824908806670141,8.195507826782412,0.02,0.25
uci,uci_product,apriori,LUNCH BAG CARS BLUE,LUNCH BAG PINK POLKADOT,1,1,798,0.02354190636339499,0.44506413831567204,8.185751001891663,0.02,0.25
uci,uci_product,apriori,LUNCH BAG PINK POLKADOT,LUNCH BAG CARS BLUE,1,1,798,0.02354190636339499,0.4329896907216495,8.185751001891663,0.02,0.25
uci,uci_product,apriori,LUNCH BAG SUKI  DESIGN,LUNCH BAG SPACEBOY DESIGN,1,1,909,0.026816532436498806,0.4535928143712575,8.012212417270723,0.02,0.25
uci,uci_product,apriori,LUNCH BAG SPACEBOY DESIGN,LUNCH BAG SUKI  DESIGN,1,1,909,0.026816532436498806,0.47368421052631576,8.012212417270721,0.02,0.25
uci,uci_product,apriori,LUNCH BAG PINK POLKADOT,LUNCH BAG  BLACK SKULL.,1,1,840,0.02478095406673157,0.45577862181226264,7.75189560640756,0.02,0.25
uci,uci_product,apriori,LUNCH BAG  BLACK SKULL.,LUNCH BAG PINK POLKADOT,1,1,840,0.02478095406673157,0.4214751630707476,7.751895606407559,0.02,0.25
uci,uci_product,apriori,LUNCH BAG CARS BLUE,LUNCH BAG SUKI  DESIGN,1,1,817,0.024102427943475824,0.45566090351366423,7.7073541149713956,0.02,0.25
uci,uci_product,apriori,LUNCH BAG SUKI  DESIGN,LUNCH BAG CARS BLUE,1,1,817,0.024102427943475824,0.40768463073852296,7.7073541149713956,0.02,0.25
uci,uci_product,apriori,LUNCH BAG PINK POLKADOT,LUNCH BAG SUKI  DESIGN,1,1,811,0.023925421128713455,0.44004340748779164,7.443189313180476,0.02,0.25
uci,uci_product,apriori,LUNCH BAG SUKI  DESIGN,LUNCH BAG PINK POLKADOT,1,1,811,0.023925421128713455,0.40469061876247503,7.443189313180475,0.02,0.25
uci,uci_product,apriori,LUNCH BAG WOODLAND,LUNCH BAG SUKI  DESIGN,1,1,684,0.02017877688290999,0.43236409608091025,7.313296289847613,0.02,0.25
uci,uci_product,apriori,LUNCH BAG SUKI  DESIGN,LUNCH BAG WOODLAND,1,1,684,0.02017877688290999,0.3413173652694611,7.313296289847612,0.02,0.25
uci,uci_product,apriori,LUNCH BAG PINK POLKADOT,LUNCH BAG RED RETROSPOT,1,1,1022,0.030150160781190077,0.5545306565382528,7.291282259378261,0.02,0.25
uci,uci_product,apriori,LUNCH BAG RED RETROSPOT,LUNCH BAG PINK POLKADOT,1,1,1022,0.030150160781190077,0.3964313421256788,7.291282259378261,0.02,0.25
uci,uci_product,apriori,PACK OF 72 RETROSPOT CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,1,1,850,0.02507596542466885,0.33905065815715996,7.2877616737813895,0.02,0.25
uci,uci_product,apriori,PACK OF 60 PINK PAISLEY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,1,1,850,0.02507596542466885,0.5389980976537729,7.287761673781389,0.02,0.25
uci,uci_product,apriori,LUNCH BAG PINK POLKADOT,LUNCH BAG SPACEBOY DESIGN,1,1,758,0.02236186093164587,0.4112859468258275,7.264908670951055,0.02,0.25
uci,uci_product,apriori,LUNCH BAG SPACEBOY DESIGN,LUNCH BAG PINK POLKADOT,1,1,758,0.02236186093164587,0.39499739447628973,7.264908670951054,0.02,0.25
uci,uci_product,apriori,LUNCH BAG  BLACK SKULL.,LUNCH BAG SUKI  DESIGN,1,1,845,0.02492845974570021,0.4239839438033116,7.171548774002423,0.02,0.25
uci,uci_product,apriori,LUNCH BAG SUKI  DESIGN,LUNCH BAG  BLACK SKULL.,1,1,845,0.02492845974570021,0.4216566866267465,7.171548774002422,0.02,0.25
uci,uci_product,apriori,LUNCH BAG WOODLAND,LUNCH BAG RED RETROSPOT,1,1,856,0.025252972239431216,0.5410872313527181,7.114520512475983,0.02,0.25
uci,uci_product,apriori,LUNCH BAG RED RETROSPOT,LUNCH BAG WOODLAND,1,1,856,0.025252972239431216,0.33204034134988364,7.114520512475983,0.02,0.25
uci,uci_product,apriori,LUNCH BAG CARS BLUE,LUNCH BAG  BLACK SKULL.,1,1,741,0.02186034162315249,0.4132738427216955,7.0289731293212805,0.02,0.25
uci,uci_product,apriori,LUNCH BAG  BLACK SKULL.,LUNCH BAG CARS BLUE,1,1,741,0.02186034162315249,0.37180130456598093,7.02897312932128,0.02,0.25
uci,uci_product,apriori,60 TEATIME FAIRY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,1,1,913,0.02693453697967372,0.5175736961451247,6.9980835972203,0.02,0.25
uci,uci_product,apriori,PACK OF 72 RETROSPOT CAKE CASES,60 TEATIME FAIRY CAKE CASES,1,1,913,0.02693453697967372,0.36418029517351413,6.998083597220299,0.02,0.25
uci,uci_product,apriori,LUNCH BAG CARS BLUE,LUNCH BAG SPACEBOY DESIGN,1,1,709,0.020916305277753195,0.3954266592303402,6.984771999963962,0.02,0.25
uci,uci_product,apriori,LUNCH BAG SPACEBOY DESIGN,LUNCH BAG CARS BLUE,1,1,709,0.020916305277753195,0.36946326211568525,6.984771999963961,0.02,0.25
uci,uci_product,apriori,LUNCH BAG  BLACK SKULL.,LUNCH BAG SPACEBOY DESIGN,1,1,787,0.023217393869663983,0.3948820873055695,6.975152742781079,0.02,0.25
uci,uci_product,apriori,LUNCH BAG SPACEBOY DESIGN,LUNCH BAG  BLACK SKULL.,1,1,787,0.023217393869663983,0.41010943199583116,6.975152742781078,0.02,0.25
uci,uci_product,apriori,LUNCH BAG  BLACK SKULL.,LUNCH BAG RED RETROSPOT,1,1,1009,0.02976664601587161,0.5062719518314099,6.65674955439461,0.02,0.25
uci,uci_product,apriori,LUNCH BAG RED RETROSPOT,LUNCH BAG  BLACK SKULL.,1,1,1009,0.02976664601587161,0.391388673390225,6.65674955439461,0.02,0.25
uci,uci_product,apriori,LUNCH BAG CARS BLUE,LUNCH BAG RED RETROSPOT,1,1,903,0.026639525621736437,0.5036252091466815,6.621948686751383,0.02,0.25
uci,uci_product,apriori,LUNCH BAG RED RETROSPOT,LUNCH BAG CARS BLUE,1,1,903,0.026639525621736437,0.3502715283165244,6.621948686751382,0.02,0.25
uci,uci_product,apriori,JUMBO BAG RED RETROSPOT,JUMBO BAG STRAWBERRY,1,1,952,0.02808508127562911,0.2948281201610406,6.605280098545138,0.02,0.25
uci,uci_product,apriori,JUMBO BAG STRAWBERRY,JUMBO BAG RED RETROSPOT,1,1,952,0.02808508127562911,0.6292134831460674,6.605280098545137,0.02,0.25
uci,uci_product,apriori,LUNCH BAG SUKI  DESIGN,LUNCH BAG RED RETROSPOT,1,1,976,0.028793108534678584,0.4870259481037924,6.403692227647111,0.02,0.25
uci,uci_product,apriori,LUNCH BAG RED RETROSPOT,LUNCH BAG SUKI  DESIGN,1,1,976,0.028793108534678584,0.3785880527540729,6.403692227647111,0.02,0.25
uci,uci_product,apriori,JUMBO BAG PINK POLKADOT,JUMBO BAG RED RETROSPOT,1,1,1064,0.03138920848452666,0.603516732841747,6.335523906205234,0.02,0.25
uci,uci_product,apriori,JUMBO BAG RED RETROSPOT,JUMBO BAG PINK POLKADOT,1,1,1064,0.03138920848452666,0.3295137813564571,6.335523906205233,0.02,0.25
uci,uci_product,apriori,LUNCH BAG RED RETROSPOT,LUNCH BAG SPACEBOY DESIGN,1,1,886,0.02613800631324306,0.34367726920093095,6.070676599324626,0.02,0.25
uci,uci_product,apriori,LUNCH BAG SPACEBOY DESIGN,LUNCH BAG RED RETROSPOT,1,1,886,0.02613800631324306,0.46169880145909326,6.070676599324625,0.02,0.25
uci,uci_product,apriori,JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG RED RETROSPOT,1,1,804,0.023718913178157358,0.5575589459084604,5.853073889581631,0.02,0.25
uci,uci_product,apriori,JUMBO STORAGE BAG SUKI,JUMBO BAG RED RETROSPOT,1,1,913,0.02693453697967372,0.5332943925233645,5.598352438329045,0.02,0.25
uci,uci_product,apriori,JUMBO BAG RED RETROSPOT,JUMBO STORAGE BAG SUKI,1,1,913,0.02693453697967372,0.2827500774233509,5.598352438329045,0.02,0.25
uci,uci_product,apriori,JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO BAG RED RETROSPOT,1,1,800,0.023600908634982445,0.47647409172126265,5.001871256449563,0.02,0.25
uci,uci_product,apriori,RED HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,1,1,1155,0.03407381184175591,0.7098955132145052,4.968682265420624,0.02,0.25
uci,uci_product,apriori,LUNCH BAG RED RETROSPOT,JUMBO BAG RED RETROSPOT,1,1,836,0.024662949523556656,0.3242823894491854,3.4042118783397455,0.02,0.25
uci,uci_product,apriori,JUMBO BAG RED RETROSPOT,LUNCH BAG RED RETROSPOT,1,1,836,0.024662949523556656,0.258903685351502,3.4042118783397455,0.02,0.25
uci,uci_product,fp_growth,ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,1,1,754,0.022243856388470956,0.7073170731707317,25.37135114208285,0.02,0.25
uci,uci_product,fp_growth,GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,1,1,754,0.022243856388470956,0.7978835978835979,25.371351142082847,0.02,0.25
uci,uci_product,fp_growth,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,1,1,702,0.020709797327197098,0.6776061776061776,20.07763689013689,0.02,0.25
uci,uci_product,fp_growth,ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE GREEN,1,1,702,0.020709797327197098,0.6136363636363636,20.07763689013689,0.02,0.25
uci,uci_product,fp_growth,CHARLOTTE BAG PINK POLKADOT,RED RETROSPOT CHARLOTTE BAG,1,1,703,0.020739298462990826,0.6344765342960289,14.385853567245814,0.02,0.25
uci,uci_product,fp_growth,RED RETROSPOT CHARLOTTE BAG,CHARLOTTE BAG PINK POLKADOT,1,1,703,0.020739298462990826,0.47023411371237456,14.385853567245812,0.02,0.25
uci,uci_product,fp_growth,SWEETHEART CERAMIC TRINKET BOX,STRAWBERRY CERAMIC TRINKET BOX,1,1,857,0.025282473375224945,0.7331052181351583,13.169087217343646,0.02,0.25
uci,uci_product,fp_growth,STRAWBERRY CERAMIC TRINKET BOX,SWEETHEART CERAMIC TRINKET BOX,1,1,857,0.025282473375224945,0.4541600423953365,13.169087217343646,0.02,0.25
uci,uci_product,fp_growth,WOODEN PICTURE FRAME WHITE FINISH,WOODEN FRAME ANTIQUE WHITE,1,1,993,0.029294627843171963,0.6014536644457904,11.524858600180304,0.02,0.25
uci,uci_product,fp_growth,WOODEN FRAME ANTIQUE WHITE,WOODEN PICTURE FRAME WHITE FINISH,1,1,993,0.029294627843171963,0.5613340870548332,11.524858600180304,0.02,0.25
uci,uci_product,fp_growth,PAPER CHAIN KIT VINTAGE CHRISTMAS,PAPER CHAIN KIT 50'S CHRISTMAS,1,1,679,0.020031271203941353,0.5547385620915033,11.232958804788344,0.02,0.25
uci,uci_product,fp_growth,PAPER CHAIN KIT 50'S CHRISTMAS,PAPER CHAIN KIT VINTAGE CHRISTMAS,1,1,679,0.020031271203941353,0.4056152927120669,11.232958804788343,0.02,0.25
uci,uci_product,fp_growth,HOME BUILDING BLOCK WORD,LOVE BUILDING BLOCK WORD,1,1,786,0.023187892733870254,0.4304490690032859,9.852081088456707,0.02,0.25
uci,uci_product,fp_growth,LOVE BUILDING BLOCK WORD,HOME BUILDING BLOCK WORD,1,1,786,0.023187892733870254,0.5307224848075625,9.852081088456705,0.02,0.25
uci,uci_product,fp_growth,HEART OF WICKER LARGE,HEART OF WICKER SMALL,1,1,869,0.025636487004749683,0.4997124784358827,9.575327236597579,0.02,0.25
uci,uci_product,fp_growth,HEART OF WICKER SMALL,HEART OF WICKER LARGE,1,1,869,0.025636487004749683,0.49123798756359527,9.575327236597579,0.02,0.25
uci,uci_product,fp_growth,PACK OF 60 PINK PAISLEY CAKE CASES,60 TEATIME FAIRY CAKE CASES,1,1,736,0.021712835944183852,0.46670894102726695,8.968272660998451,0.02,0.25
uci,uci_product,fp_growth,60 TEATIME FAIRY CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,1,1,736,0.021712835944183852,0.41723356009070295,8.968272660998451,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG WOODLAND,LUNCH BAG CARS BLUE,1,1,691,0.020385284833466088,0.4367888748419722,8.257575287517195,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG CARS BLUE,LUNCH BAG WOODLAND,1,1,691,0.020385284833466088,0.38538761851645287,8.257575287517195,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG WOODLAND,LUNCH BAG SPACEBOY DESIGN,1,1,734,0.021653833672596396,0.4639696586599241,8.195507826782412,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG SPACEBOY DESIGN,LUNCH BAG WOODLAND,1,1,734,0.021653833672596396,0.3824908806670141,8.195507826782412,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG CARS BLUE,LUNCH BAG PINK POLKADOT,1,1,798,0.02354190636339499,0.44506413831567204,8.185751001891663,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG PINK POLKADOT,LUNCH BAG CARS BLUE,1,1,798,0.02354190636339499,0.4329896907216495,8.185751001891663,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG SUKI  DESIGN,LUNCH BAG SPACEBOY DESIGN,1,1,909,0.026816532436498806,0.4535928143712575,8.012212417270723,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG SPACEBOY DESIGN,LUNCH BAG SUKI  DESIGN,1,1,909,0.026816532436498806,0.47368421052631576,8.012212417270721,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG PINK POLKADOT,LUNCH BAG  BLACK SKULL.,1,1,840,0.02478095406673157,0.45577862181226264,7.75189560640756,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG  BLACK SKULL.,LUNCH BAG PINK POLKADOT,1,1,840,0.02478095406673157,0.4214751630707476,7.751895606407559,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG CARS BLUE,LUNCH BAG SUKI  DESIGN,1,1,817,0.024102427943475824,0.45566090351366423,7.7073541149713956,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG SUKI  DESIGN,LUNCH BAG CARS BLUE,1,1,817,0.024102427943475824,0.40768463073852296,7.7073541149713956,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG PINK POLKADOT,LUNCH BAG SUKI  DESIGN,1,1,811,0.023925421128713455,0.44004340748779164,7.443189313180476,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG SUKI  DESIGN,LUNCH BAG PINK POLKADOT,1,1,811,0.023925421128713455,0.40469061876247503,7.443189313180475,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG WOODLAND,LUNCH BAG SUKI  DESIGN,1,1,684,0.02017877688290999,0.43236409608091025,7.313296289847613,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG SUKI  DESIGN,LUNCH BAG WOODLAND,1,1,684,0.02017877688290999,0.3413173652694611,7.313296289847612,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG PINK POLKADOT,LUNCH BAG RED RETROSPOT,1,1,1022,0.030150160781190077,0.5545306565382528,7.291282259378261,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG RED RETROSPOT,LUNCH BAG PINK POLKADOT,1,1,1022,0.030150160781190077,0.3964313421256788,7.291282259378261,0.02,0.25
uci,uci_product,fp_growth,PACK OF 72 RETROSPOT CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,1,1,850,0.02507596542466885,0.33905065815715996,7.2877616737813895,0.02,0.25
uci,uci_product,fp_growth,PACK OF 60 PINK PAISLEY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,1,1,850,0.02507596542466885,0.5389980976537729,7.287761673781389,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG PINK POLKADOT,LUNCH BAG SPACEBOY DESIGN,1,1,758,0.02236186093164587,0.4112859468258275,7.264908670951055,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG SPACEBOY DESIGN,LUNCH BAG PINK POLKADOT,1,1,758,0.02236186093164587,0.39499739447628973,7.264908670951054,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG  BLACK SKULL.,LUNCH BAG SUKI  DESIGN,1,1,845,0.02492845974570021,0.4239839438033116,7.171548774002423,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG SUKI  DESIGN,LUNCH BAG  BLACK SKULL.,1,1,845,0.02492845974570021,0.4216566866267465,7.171548774002422,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG WOODLAND,LUNCH BAG RED RETROSPOT,1,1,856,0.025252972239431216,0.5410872313527181,7.114520512475983,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG RED RETROSPOT,LUNCH BAG WOODLAND,1,1,856,0.025252972239431216,0.33204034134988364,7.114520512475983,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG CARS BLUE,LUNCH BAG  BLACK SKULL.,1,1,741,0.02186034162315249,0.4132738427216955,7.0289731293212805,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG  BLACK SKULL.,LUNCH BAG CARS BLUE,1,1,741,0.02186034162315249,0.37180130456598093,7.02897312932128,0.02,0.25
uci,uci_product,fp_growth,60 TEATIME FAIRY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,1,1,913,0.02693453697967372,0.5175736961451247,6.9980835972203,0.02,0.25
uci,uci_product,fp_growth,PACK OF 72 RETROSPOT CAKE CASES,60 TEATIME FAIRY CAKE CASES,1,1,913,0.02693453697967372,0.36418029517351413,6.998083597220299,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG CARS BLUE,LUNCH BAG SPACEBOY DESIGN,1,1,709,0.020916305277753195,0.3954266592303402,6.984771999963962,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG SPACEBOY DESIGN,LUNCH BAG CARS BLUE,1,1,709,0.020916305277753195,0.36946326211568525,6.984771999963961,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG  BLACK SKULL.,LUNCH BAG SPACEBOY DESIGN,1,1,787,0.023217393869663983,0.3948820873055695,6.975152742781079,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG SPACEBOY DESIGN,LUNCH BAG  BLACK SKULL.,1,1,787,0.023217393869663983,0.41010943199583116,6.975152742781078,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG  BLACK SKULL.,LUNCH BAG RED RETROSPOT,1,1,1009,0.02976664601587161,0.5062719518314099,6.65674955439461,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG RED RETROSPOT,LUNCH BAG  BLACK SKULL.,1,1,1009,0.02976664601587161,0.391388673390225,6.65674955439461,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG CARS BLUE,LUNCH BAG RED RETROSPOT,1,1,903,0.026639525621736437,0.5036252091466815,6.621948686751383,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG RED RETROSPOT,LUNCH BAG CARS BLUE,1,1,903,0.026639525621736437,0.3502715283165244,6.621948686751382,0.02,0.25
uci,uci_product,fp_growth,JUMBO BAG RED RETROSPOT,JUMBO BAG STRAWBERRY,1,1,952,0.02808508127562911,0.2948281201610406,6.605280098545138,0.02,0.25
uci,uci_product,fp_growth,JUMBO BAG STRAWBERRY,JUMBO BAG RED RETROSPOT,1,1,952,0.02808508127562911,0.6292134831460674,6.605280098545137,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG SUKI  DESIGN,LUNCH BAG RED RETROSPOT,1,1,976,0.028793108534678584,0.4870259481037924,6.403692227647111,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG RED RETROSPOT,LUNCH BAG SUKI  DESIGN,1,1,976,0.028793108534678584,0.3785880527540729,6.403692227647111,0.02,0.25
uci,uci_product,fp_growth,JUMBO BAG PINK POLKADOT,JUMBO BAG RED RETROSPOT,1,1,1064,0.03138920848452666,0.603516732841747,6.335523906205234,0.02,0.25
uci,uci_product,fp_growth,JUMBO BAG RED RETROSPOT,JUMBO BAG PINK POLKADOT,1,1,1064,0.03138920848452666,0.3295137813564571,6.335523906205233,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG RED RETROSPOT,LUNCH BAG SPACEBOY DESIGN,1,1,886,0.02613800631324306,0.34367726920093095,6.070676599324626,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG SPACEBOY DESIGN,LUNCH BAG RED RETROSPOT,1,1,886,0.02613800631324306,0.46169880145909326,6.070676599324625,0.02,0.25
uci,uci_product,fp_growth,JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG RED RETROSPOT,1,1,804,0.023718913178157358,0.5575589459084604,5.853073889581631,0.02,0.25
uci,uci_product,fp_growth,JUMBO STORAGE BAG SUKI,JUMBO BAG RED RETROSPOT,1,1,913,0.02693453697967372,0.5332943925233645,5.598352438329045,0.02,0.25
uci,uci_product,fp_growth,JUMBO BAG RED RETROSPOT,JUMBO STORAGE BAG SUKI,1,1,913,0.02693453697967372,0.2827500774233509,5.598352438329045,0.02,0.25
uci,uci_product,fp_growth,JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO BAG RED RETROSPOT,1,1,800,0.023600908634982445,0.47647409172126265,5.001871256449563,0.02,0.25
uci,uci_product,fp_growth,RED HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,1,1,1155,0.03407381184175591,0.7098955132145052,4.968682265420624,0.02,0.25
uci,uci_product,fp_growth,LUNCH BAG RED RETROSPOT,JUMBO BAG RED RETROSPOT,1,1,836,0.024662949523556656,0.3242823894491854,3.4042118783397455,0.02,0.25
uci,uci_product,fp_growth,JUMBO BAG RED RETROSPOT,LUNCH BAG RED RETROSPOT,1,1,836,0.024662949523556656,0.258903685351502,3.4042118783397455,0.02,0.25
uci,uci_product,eclat,ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,1,1,754,0.022243856388470956,0.7073170731707317,25.37135114208285,0.02,0.25
uci,uci_product,eclat,GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,1,1,754,0.022243856388470956,0.7978835978835979,25.371351142082847,0.02,0.25
uci,uci_product,eclat,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,1,1,702,0.020709797327197098,0.6776061776061776,20.07763689013689,0.02,0.25
uci,uci_product,eclat,ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE GREEN,1,1,702,0.020709797327197098,0.6136363636363636,20.07763689013689,0.02,0.25
uci,uci_product,eclat,CHARLOTTE BAG PINK POLKADOT,RED RETROSPOT CHARLOTTE BAG,1,1,703,0.020739298462990826,0.6344765342960289,14.385853567245814,0.02,0.25
uci,uci_product,eclat,RED RETROSPOT CHARLOTTE BAG,CHARLOTTE BAG PINK POLKADOT,1,1,703,0.020739298462990826,0.47023411371237456,14.385853567245812,0.02,0.25
uci,uci_product,eclat,SWEETHEART CERAMIC TRINKET BOX,STRAWBERRY CERAMIC TRINKET BOX,1,1,857,0.025282473375224945,0.7331052181351583,13.169087217343646,0.02,0.25
uci,uci_product,eclat,STRAWBERRY CERAMIC TRINKET BOX,SWEETHEART CERAMIC TRINKET BOX,1,1,857,0.025282473375224945,0.4541600423953365,13.169087217343646,0.02,0.25
uci,uci_product,eclat,WOODEN PICTURE FRAME WHITE FINISH,WOODEN FRAME ANTIQUE WHITE,1,1,993,0.029294627843171963,0.6014536644457904,11.524858600180304,0.02,0.25
